Year,Units,Age,Value
2010,per_1000_women,aged 15-19 and 10-14 years,16.8
2011,per_1000_women,aged 15-19 and 10-14 years,14.3
2012,per_1000_women,aged 15-19 and 10-14 years,13.2
2013,per_1000_women,aged 15-19 and 10-14 years,11.9
2014,per_1000_women,aged 15-19 and 10-14 years,11.1
2015,per_1000_women,aged 15-19 and 10-14 years,10.7
2016,per_1000_women,aged 15-19 and 10-14 years,9.7
2017,per_1000_women,aged 15-19 and 10-14 years,9.8
2018,per_1000_women,aged 15-19 and 10-14 years,9.5
2019,per_1000_women,aged 15-19 and 10-14 years,11.2
2020,per_1000_women,aged 15-19 and 10-14 years,9.3
