Year,Units,Age,Sex,Value
2010,%,aged 15-24 years,,66.9
2011,%,aged 15-24 years,,71.5
2012,%,aged 15-24 years,,71.0
2013,%,aged 15-24 years,,71.2
2014,%,aged 15-24 years,,67.6
2015,%,aged 15-24 years,,67.2
2016,%,aged 15-24 years,,65.9
2017,%,aged 15-24 years,,66.2
2018,%,aged 15-24 years,,65.9
2019,%,aged 15-24 years,,60.8
2020,%,aged 15-24 years,,61.7
2010,%,aged 15-24 years,Male,64.2
2011,%,aged 15-24 years,Male,68.0
2012,%,aged 15-24 years,Male,69.9
2013,%,aged 15-24 years,Male,68.6
2014,%,aged 15-24 years,Male,63.8
2015,%,aged 15-24 years,Male,65.1
2016,%,aged 15-24 years,Male,63.4
2017,%,aged 15-24 years,Male,64.0
2018,%,aged 15-24 years,Male,59.6
2019,%,aged 15-24 years,Male,54.8
2020,%,aged 15-24 years,Male,57.2
2010,%,aged 15-24 years,Female,69.8
2011,%,aged 15-24 years,Female,75.3
2012,%,aged 15-24 years,Female,72.6
2013,%,aged 15-24 years,Female,73.9
2014,%,aged 15-24 years,Female,71.7
2015,%,aged 15-24 years,Female,69.4
2016,%,aged 15-24 years,Female,68.5
2017,%,aged 15-24 years,Female,68.7
2018,%,aged 15-24 years,Female,72.6
2019,%,aged 15-24 years,Female,67.2
2020,%,aged 15-24 years,Female,66.6
2010,%,aged 25-64 years,,2.4
2011,%,aged 25-64 years,,2.8
2012,%,aged 25-64 years,,2.5
2013,%,aged 25-64 years,,3.1
2014,%,aged 25-64 years,,2.9
2015,%,aged 25-64 years,,3.0
2016,%,aged 25-64 years,,3.3
2017,%,aged 25-64 years,,2.8
2018,%,aged 25-64 years,,3.3
2019,%,aged 25-64 years,,2.5
2020,%,aged 25-64 years,,2.7
2010,%,aged 25-64 years,Male,2.5
2011,%,aged 25-64 years,Male,3.1
2012,%,aged 25-64 years,Male,2.8
2013,%,aged 25-64 years,Male,3.0
2014,%,aged 25-64 years,Male,3.1
2015,%,aged 25-64 years,Male,3.4
2016,%,aged 25-64 years,Male,3.7
2017,%,aged 25-64 years,Male,3.3
2018,%,aged 25-64 years,Male,3.4
2019,%,aged 25-64 years,Male,2.1
2020,%,aged 25-64 years,Male,2.6
2010,%,aged 25-64 years,Female,2.3
2011,%,aged 25-64 years,Female,2.5
2012,%,aged 25-64 years,Female,2.2
2013,%,aged 25-64 years,Female,3.3
2014,%,aged 25-64 years,Female,2.7
2015,%,aged 25-64 years,Female,2.5
2016,%,aged 25-64 years,Female,2.9
2017,%,aged 25-64 years,Female,2.7
2018,%,aged 25-64 years,Female,3.1
2019,%,aged 25-64 years,Female,3.0
2020,%,aged 25-64 years,Female,2.8
