Year,Units,Category,Value
2019,level_of_participation,6_b_1_cat_1,2
2019,level_of_participation,6_b_1_cat_2,2
2019,level_of_participation,6_b_1_cat_3,2
2019,level_of_participation,6_b_1_cat_4,2
2019,level_of_participation,6_b_1_cat_5,2
2019,level_of_participation,6_b_1_cat_6,2
2021,level_of_participation,6_b_1_cat_1,2
2021,level_of_participation,6_b_1_cat_2,2
2021,level_of_participation,6_b_1_cat_3,2
2021,level_of_participation,6_b_1_cat_4,2
2021,level_of_participation,6_b_1_cat_5,2
2021,level_of_participation,6_b_1_cat_6,2
