Year,Units,Category,Value
2010,tons,,10039376.0
2011,tons,,9056172.0
2012,tons,,8487730.0
2013,tons,,8724634.0
2010,tons_per_capita,,16.2
2011,tons_per_capita,,14.6
2012,tons_per_capita,,13.7
2013,tons_per_capita,,14.1
2008,kg_per_constant_usd_2015,8_4_2_cat_1,0.3
2009,kg_per_constant_usd_2015,8_4_2_cat_1,0.3
2010,kg_per_constant_usd_2015,8_4_2_cat_1,0.4
2011,kg_per_constant_usd_2015,8_4_2_cat_1,0.4
2012,kg_per_constant_usd_2015,8_4_2_cat_1,0.4
2013,kg_per_constant_usd_2015,8_4_2_cat_1,0.4
2014,kg_per_constant_usd_2015,8_4_2_cat_1,0.4
2015,kg_per_constant_usd_2015,8_4_2_cat_1,0.3
2016,kg_per_constant_usd_2015,8_4_2_cat_1,0.3
2017,kg_per_constant_usd_2015,8_4_2_cat_1,0.3
2018,kg_per_constant_usd_2015,8_4_2_cat_1,0.3
2019,kg_per_constant_usd_2015,8_4_2_cat_1,0.3
2008,kg_per_constant_usd_2015,8_4_2_cat_2,0.4
2009,kg_per_constant_usd_2015,8_4_2_cat_2,0.3
2010,kg_per_constant_usd_2015,8_4_2_cat_2,0.5
2011,kg_per_constant_usd_2015,8_4_2_cat_2,0.5
2012,kg_per_constant_usd_2015,8_4_2_cat_2,0.5
2013,kg_per_constant_usd_2015,8_4_2_cat_2,0.4
2014,kg_per_constant_usd_2015,8_4_2_cat_2,0.4
2015,kg_per_constant_usd_2015,8_4_2_cat_2,0.4
2016,kg_per_constant_usd_2015,8_4_2_cat_2,0.3
2017,kg_per_constant_usd_2015,8_4_2_cat_2,0.3
2018,kg_per_constant_usd_2015,8_4_2_cat_2,0.3
2019,kg_per_constant_usd_2015,8_4_2_cat_2,0.3
2008,kg_per_constant_usd_2015,8_4_2_cat_3,0.1
2009,kg_per_constant_usd_2015,8_4_2_cat_3,0.0
2010,kg_per_constant_usd_2015,8_4_2_cat_3,0.0
2011,kg_per_constant_usd_2015,8_4_2_cat_3,0.1
2012,kg_per_constant_usd_2015,8_4_2_cat_3,0.0
2013,kg_per_constant_usd_2015,8_4_2_cat_3,0.0
2014,kg_per_constant_usd_2015,8_4_2_cat_3,0.1
2015,kg_per_constant_usd_2015,8_4_2_cat_3,0.0
2016,kg_per_constant_usd_2015,8_4_2_cat_3,0.1
2017,kg_per_constant_usd_2015,8_4_2_cat_3,0.0
2018,kg_per_constant_usd_2015,8_4_2_cat_3,0.1
2019,kg_per_constant_usd_2015,8_4_2_cat_3,0.1
2008,kg_per_constant_usd_2015,8_4_2_cat_4,1.7
2009,kg_per_constant_usd_2015,8_4_2_cat_4,1.2
2010,kg_per_constant_usd_2015,8_4_2_cat_4,1.0
2011,kg_per_constant_usd_2015,8_4_2_cat_4,0.9
2012,kg_per_constant_usd_2015,8_4_2_cat_4,0.9
2013,kg_per_constant_usd_2015,8_4_2_cat_4,0.8
2014,kg_per_constant_usd_2015,8_4_2_cat_4,0.8
2015,kg_per_constant_usd_2015,8_4_2_cat_4,0.8
2016,kg_per_constant_usd_2015,8_4_2_cat_4,1.0
2017,kg_per_constant_usd_2015,8_4_2_cat_4,1.3
2018,kg_per_constant_usd_2015,8_4_2_cat_4,1.6
2019,kg_per_constant_usd_2015,8_4_2_cat_4,1.5
