Year,Value,Units
2006,1.47865,millions_constant_usd_2021
2007,2.50668,millions_constant_usd_2021
2008,2.10736,millions_constant_usd_2021
2009,6.07342,millions_constant_usd_2021
2010,7.46717,millions_constant_usd_2021
2011,7.79048,millions_constant_usd_2021
2012,10.59857,millions_constant_usd_2021
2013,10.2983,millions_constant_usd_2021
2014,7.97613,millions_constant_usd_2021
2015,25.00785,millions_constant_usd_2021
2016,4.36011,millions_constant_usd_2021
2017,23.64829,millions_constant_usd_2021
2018,11.03862,millions_constant_usd_2021
2019,7.61836,millions_constant_usd_2021
2020,7.67735,millions_constant_usd_2021
2021,5.57126,millions_constant_usd_2021
2022,10.5645,millions_constant_usd_2021
