Year,Value,Units
2010,0.80221,millions_constant_usd_2021
2011,0.18067,millions_constant_usd_2021
2012,0.282,millions_constant_usd_2021
2013,0.20924,millions_constant_usd_2021
2014,-0.05129,millions_constant_usd_2021
2015,-0.39947,millions_constant_usd_2021
2016,0.76361,millions_constant_usd_2021
2017,-0.43349,millions_constant_usd_2021
2018,-0.294,millions_constant_usd_2021
2019,-0.28496,millions_constant_usd_2021
2020,1.62194,millions_constant_usd_2021
2021,12.78767,millions_constant_usd_2021
2022,4.80833,millions_constant_usd_2021
