Year,Value,Units
2006,2166281,thousands_eur
2007,2687082,thousands_eur
2008,3100046,thousands_eur
2009,2981872,thousands_eur
2010,3120528,thousands_eur
2011,3237983,thousands_eur
2012,3169260,thousands_eur
2013,3329596,thousands_eur
2014,3447221,thousands_eur
2015,3614995,thousands_eur
2016,3936629,thousands_eur
2017,4252496,thousands_eur
2018,4600913,thousands_eur
2019,4988390,thousands_eur
2020,4144816,thousands_eur
2021,4923235,thousands_eur
2022,5944381,thousands_eur
2023,7068843,thousands_eur
2024,7644530,thousands_eur
