Value,Disaggregation combinations using this value,Number of indicators
ALLAREA,1,1
allarea,16,2
Andrijevica,3,1
Bar UB,2,1
Bar,3,1
Berane (sa Petnjicom),3,1
Bijelo Polje,5,2
Bothsex,1,1
Budva,3,1
Cetinje,3,1
Danilovgrad,3,1
Herceg Novi,3,1
Kolasin,3,1
Kotor,4,2
Mojkovac,3,1
Niksic UB,2,1
Niksic,3,1
Plav (sa Gusinjem),3,1
Pljevlja UB,2,1
Pljevlja,3,1
Pluzine,3,1
Podgorica UB,2,1
Podgorica UT,1,1
Podgorica,3,1
Roma settlements,45,17
Rozaje,3,1
RURAL,1,1
rural,3,3
savnik,3,1
Tivat UB,1,1
Tivat,3,1
Ulcinj,3,1
URBAN,1,1
urban,3,3
Zabljak,3,1
