Value,Disaggregation combinations using this value,Number of indicators
size_class_0.10_0.50,2,1
size_class_0.50_1.00,2,1
size_class_10.00_15.00,2,1
size_class_1.00_2.00,2,1
size_class_15.00_20.00,2,1
size_class_20.00_30.00,2,1
size_class_2.00_3.00,2,1
size_class_30.00_50.00,2,1
size_class_3.00_4.00,2,1
size_class_4.00_5.00,2,1
size_class_50.00_100.00,2,1
size_class_5.00_6.00,2,1
size_class_6.00_8.00,2,1
size_class_8.00_10.00,2,1
size_class_less_0.10,2,1
size_class_more_100.00,2,1
without_land,2,1
